Acarospora bullata Anzi 
Acarospora sinopica (Wahlenb.) Körb. 
Acarospora squamulosa (Schrad.) Trevis. 
Agonimia tristicula (Nyl.) Zahlbr. 
Alectoria ochroleuca (Hoffm.) A. Massal. 
Amandinea pelidna (Ach.) Fryday & Arcadia (syn.  Amandinea lecideina (H. Mayrhofer & Poelt) Scheid. & H. Mayrhofer) 
Amandinea punctata (Hoffm.) Coppins & Scheid. 
"Amundsenia approximata (Lynge) Søchting, Arup & Frödén (syn. Caloplaca approximata Lynge) "
Arctocetraria andrejevii (Oxner) Kärnefelt & A. Thell 
Arctocetraria nigricascens (Nyl.) Kärnefelt & A. Thell 
Arctoparmelia centrifuga (L.) Hale 
Arctoparmelia separata (Th. Fr.) Hale 
Asahinea scholanderi (Llano) Culb. & C. Culb. 
Aspicilia aliena (Zahlbr.) Oxner 
Aspicilia cinerea (L.) Körb. 
"Athallia holocarpa (Hoffm.) Arup, Frödén & Søchting (syn. Caloplaca holocarpa (Hoffm. ex Ach.) M. Wade) "
Bacidina sp. 
Baeomyces carneus Flörke 
Baeomyces placophyllus Ach 
Baeomyces rufus (Huds.) Rebent. 
Bellemerea subsorediza (Lynge) R. Sant. 
Belonia russula Körb. ex Nyl. (syn. Gyalecta russula (Körb. ex Nyl.) Baloch et al.) 
Biatora subduplex (Nyl.) Printzen 
Bilimbia microcarpa (Th. Fr.) Th. Fr. 
"Blastenia ammiospila (Wahlenb.) Arup, Søchting & Frödén (syn. Caloplaca ammiospora (Wahlenb.) H. Olivier) "
Brianaria lutulata (Nyl.) S. Ekman & M. Svensson (syn. Micarea lutulata (Nyl.) Coppins ) 
Brodoa oroarctica (Krog) Goward 
"Bryobilimbia diapensiae (Th. Fr.) Fryday, Printzen & S. Ekman "
Bryobilimbia sp.
Bryocaulon divergens (Ach.) Kärnefelt 
"Bryoplaca jungermanniae (Vahl) Søchting, Frödén & Arup (syn. Caloplaca jungermanniae (Vahl) Th. Fr.) "
"Bryoplaca sinapisperma (Lam. & DC.) Søchting, Frödén & Arup (syn. Caloplaca sinapisperma (Lam. & DC.) Maheu & A. Gillet) "
Bryoria fuscescens (Gyelnik) Brodo & D. Hawksw. 
Bryoria nitidula (Th. Fr.) Brodo & D. Hawksw. 
Buellia cf. miriquidica  Scheid. 
Buellia elegans Poelt. (syn. Buellia epigea (Pers.) Tuck.) 
Buellia notabilis sensu Thomson non Lynge 
Buellia stigmatea Körb.
Buellia uberior Anzi 
Caloplaca stillicidiorum (Vahl) Lynge 
Calvitimela armeniaca (DC.) Hafellner 
Calvitimela melaleuca (Sommerf.) R. Sant. 
Calvitimela talayana (Haugan & Timdal) M.P. Andreev 
Candelariella athallina (Wedd.) Du Rietz 
Candelariella aurella (Hoffm.) Zahlbr. 
Candelariella placodizans (Nyl.) H. Magn. 
Candelariella vitellina (Hoffm.) Müll.Arg. 
Carbonea vorticosa (Flörke) Hertel 
Catapyrenium cinereum (Pers.) Körb. 
Catillaria picila (A. Massal.) Coppins 
Cecidonia umbonella (Nyl.) Triebel & Rambold 
